Business Type,,Reseller Name,,City,State Name,,,,Head Office,Country,,Region
Specialty Bike Shop,   The Bicycle Accessories Company    ,The Bicycle Accessories Company,ALHAMBRA,Alhambra,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    Timely Shipping Service    ,Timely Shipping Service,ALPINE,Alpine,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Good Toys    ,Good Toys,AUBURN,Auburn,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Basic Sports Equipment    ,Basic Sports Equipment,BALDWIN PARK,Baldwin Park,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Distinctive Store    ,Distinctive Store,BARSTOW,Barstow,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Economy Bikes Company    ,Economy Bikes Company,BELL GARDENS,Bell Gardens,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Aerobic Exercise Company    ,Aerobic Exercise Company,CAMARILLO,Camarillo,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Pro Sporting Goods    ,Pro Sporting Goods,CAMARILLO,Camarillo,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Big-Time Bike Store    ,Big-Time Bike Store,CAMARILLO,Camarillo,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, Vale Riding Supplies    ,Vale Riding Supplies,CANOGA PARK,Canoga Park,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Farthermost Bike Shop    ,Farthermost Bike Shop,CARSON,Carson,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,      Trailblazing Sports    ,Trailblazing Sports,CERRITOS,Cerritos,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Valley Bicycle Distributors    ,Valley Bicycle Distributors,CITRUS HEIGHTS,Citrus Heights,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Extended Bike Sales    ,Extended Bike Sales,CITY OF COMMERCE,City Of Commerce,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Resale Services    ,Resale Services,CULVER CITY,Culver City,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Futuristic Bikes    ,Futuristic Bikes,CULVER CITY,Culver City,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,          Discount Tours    ,Discount Tours,DALY CITY,Daly City,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,"    Unicycles, Bicycles, and Tricycles    ","Unicycles, Bicycles, and Tricycles",DOWNEY,Downey,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Metropolitan Manufacturing    ,Metropolitan Manufacturing,EL CAJON,El Cajon,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    Coalition Bike Company    ,Coalition Bike Company,EL SEGUNDO,El Segundo,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Eighth Bike Store    ,Eighth Bike Store,EL SEGUNDO,El Segundo,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,      Small Bike Shop    ,Small Bike Shop,EL SEGUNDO,El Segundo,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Alpine Ski House    ,Alpine Ski House,ELK GROVE,Elk Grove,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Number 1 Supply    ,Number 1 Supply,ESCONDIDO,Escondido,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  Retail Cycle Shop    ,Retail Cycle Shop,EUREKA,Eureka,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Trendy Department Stores    ,Trendy Department Stores,FONTANA,Fontana,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Metropolitan Sports Supply    ,Metropolitan Sports Supply,FREMONT,Fremont,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Many Bikes Store    ,Many Bikes Store,FULLERTON,Fullerton,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Sturdy Toys    ,Sturdy Toys,GILROY,Gilroy,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,      The New Bike Store    ,The New Bike Store,HANFORD,Hanford,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Main Bicycle Services    ,Main Bicycle Services,HAYWARD,Hayward,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Riding Excursions    ,Riding Excursions,IRVINE,Irvine,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Golf and Cycle Store    ,Golf and Cycle Store,LA MESA,La Mesa,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Affordable Sports Equipment    ,Affordable Sports Equipment,LAKE ELSINORE,Lake Elsinore,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,          Outdoor Sporting Goods    ,Outdoor Sporting Goods,LAKEWOOD,Lakewood,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,    Distant Inn    ,Distant Inn,MILPITAS,Milpitas,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Commercial Sporting Goods    ,Commercial Sporting Goods,MODESTO,Modesto,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    Area Bike Accessories    ,Area Bike Accessories,MODESTO,Modesto,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Separate Parts Corporation    ,Separate Parts Corporation,MONROVIA,Monrovia,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,      Mountain Bike Center    ,Mountain Bike Center,NEWARK,Newark,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Healthy Activity Store    ,Healthy Activity Store,NEWPORT BEACH,Newport Beach,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Exertion Activities Club    ,Exertion Activities Club,NORWALK,Norwalk,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Strenuous Exercise Shop    ,Strenuous Exercise Shop,NORWALK,Norwalk,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Technical Parts Manufacturing    ,Technical Parts Manufacturing,ONTARIO,Ontario,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Preferred Bikes    ,Preferred Bikes,ONTARIO,Ontario,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Wire Baskets and Parts    ,Wire Baskets and Parts,ORANGE,Orange,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Thrifty Parts and Sales    ,Thrifty Parts and Sales,OXNARD,Oxnard,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Engineered Bike Systems    ,Engineered Bike Systems,OXNARD,Oxnard,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  Rural Department Store    ,Rural Department Store,PLEASANTON,Pleasanton,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Vehicle Shop    ,Vehicle Shop,REDLANDS,Redlands,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Quantity Discounts    ,Quantity Discounts,SACRAMENTO,Sacramento,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Finish and Sealant Products    ,Finish and Sealant Products,SAN BRUNO,San Bruno,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,          Brown Bicycle Company    ,Brown Bicycle Company,SAN DIEGO,San Diego,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,    Mechanical Products Ltd.    ,Mechanical Products Ltd.,SAN DIEGO,San Diego,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Two Wheels Cycle Store    ,Two Wheels Cycle Store,SAN FRANCISCO,San Francisco,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    Weekend Bike Tours    ,Weekend Bike Tours,SAN JOSE,San Jose,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Exercise Center    ,Exercise Center,SAN JOSE,San Jose,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,      Wheel Gallery    ,Wheel Gallery,SAN MATEO,San Mateo,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Bike World    ,Bike World,SAN RAMON,San Ramon,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Sparkling Paint and Finishes    ,Sparkling Paint and Finishes,SAN YSIDRO,San Ysidro,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Westside Plaza    ,Westside Plaza,SAND CITY,Sand City,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Sports Products Store    ,Sports Products Store,SANTA ANA,Santa Ana,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     More Bikes!    ,More Bikes!,SANTA ANA,Santa Ana,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse, Bicycle Merchandise Warehouse    ,Bicycle Merchandise Warehouse,SANTA MONICA,Santa Monica,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Extreme Riding Supplies    ,Extreme Riding Supplies,SHERMAN OAKS,Sherman Oaks,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Highway Bike Shop    ,Highway Bike Shop,SIMI VALLEY,Simi Valley,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  Fleet Bikes    ,Fleet Bikes,STOCKTON,Stockton,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Traction Tire Company    ,Traction Tire Company,TORRANCE,Torrance,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  World Bike Discount Store    ,World Bike Discount Store,TRABUCO CANYON,Trabuco Canyon,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Eastside Department Store    ,Eastside Department Store,UNION CITY,Union City,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,          Principal Bike Company    ,Principal Bike Company,UPLAND,Upland,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,    Bike Universe    ,Bike Universe,VACAVILLE,Vacaville,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Professional Sales and Service    ,Professional Sales and Service,VAN NUYS,Van Nuys,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,    Locks Company    ,Locks Company,VISALIA,Visalia,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Flawless Bike Shop    ,Flawless Bike Shop,VISTA,Vista,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Metallic Paint and Overcoat Co    ,Metallic Paint and Overcoat Co,VISTA,Vista,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Curbside Sporting Goods    ,Curbside Sporting Goods,WALNUT CREEK,Walnut Creek,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Fitness Cycling    ,Fitness Cycling,WHITTIER,Whittier,California,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Extreme Toy Store    ,Extreme Toy Store,BIRMINGHAM,Birmingham,Alabama,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Pedal Systems Company    ,Pedal Systems Company,FLORENCE,Florence,Alabama,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Games and Sport Supply Company    ,Games and Sport Supply Company,HUNTSVILLE,Huntsville,Alabama,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse, Racing Association    ,Racing Association,HUNTSVILLE,Huntsville,Alabama,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,        Principal Bicycle Supply    ,Principal Bicycle Supply,MOBILE,Mobile,Alabama,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Topnotch Bikes    ,Topnotch Bikes,MONTGOMERY,Montgomery,Alabama,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Rally Master Company Inc    ,Rally Master Company Inc,CHANDLER,Chandler,Arizona,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Major Sporting Goods    ,Major Sporting Goods,CHANDLER,Chandler,Arizona,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,  Systematic Sales    ,Systematic Sales,GILBERT,Gilbert,Arizona,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,        Retail Sporting Equipment    ,Retail Sporting Equipment,MESA,Mesa,Arizona,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,          Racing Toys    ,Racing Toys,PHOENIX,Phoenix,Arizona,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    Professional Cycle Store    ,Professional Cycle Store,PHOENIX,Phoenix,Arizona,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Real Sporting Goods    ,Real Sporting Goods,PHOENIX,Phoenix,Arizona,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,    First Cycle Store    ,First Cycle Store,SCOTTSDALE,Scottsdale,Arizona,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, Fitness Department Stores    ,Fitness Department Stores,SCOTTSDALE,Scottsdale,Arizona,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Professional Containers and Packaging Co.    ,Professional Containers and Packaging Co.,SURPRISE,Surprise,Arizona,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,     Fun Toys and Bikes    ,Fun Toys and Bikes,TUCSON,Tucson,Arizona,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Regional Manufacturing    ,Regional Manufacturing,TUCSON,Tucson,Arizona,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Sample Bike Store    ,Sample Bike Store,DENVER,Denver,Colorado,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,   Paints and Solvents Company    ,Paints and Solvents Company,ENGLEWOOD,Englewood,Colorado,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,     Reasonable Bicycle Sales    ,Reasonable Bicycle Sales,GREELEY,Greeley,Colorado,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse, Futuristic Sport Distributors    ,Futuristic Sport Distributors,LONGMONT,Longmont,Colorado,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Field Trip Store    ,Field Trip Store,LOVELAND,Loveland,Colorado,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,      Bold Bike Accessories    ,Bold Bike Accessories,LOVELAND,Loveland,Colorado,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Fun Times Club    ,Fun Times Club,PARKER,Parker,Colorado,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Another Sporting Goods Company    ,Another Sporting Goods Company,WESTMINSTER,Westminster,Colorado,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Initial Bike Company    ,Initial Bike Company,WESTMINSTER,Westminster,Colorado,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Modern Bike Store    ,Modern Bike Store,EAST HAVEN,East Haven,Connecticut,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,          Outdoor Distributors    ,Outdoor Distributors,FARMINGTON,Farmington,Connecticut,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,    Endurance Bikes    ,Endurance Bikes,HAMDEN,Hamden,Connecticut,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Classic Cycle Store    ,Classic Cycle Store,MILFORD,Milford,Connecticut,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,    Lease-a-Bike Shop    ,Lease-a-Bike Shop,MILFORD,Milford,Connecticut,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Mountain Bike Store    ,Mountain Bike Store,NEW HAVEN,New Haven,Connecticut,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,      Immediate Repair Shop    ,Immediate Repair Shop,STAMFORD,Stamford,Connecticut,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Painters Bicycle Specialists    ,Painters Bicycle Specialists,WATERBURY,Waterbury,Connecticut,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Eleventh Bike Store    ,Eleventh Bike Store,WESTPORT,Westport,Connecticut,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Functional Store North    ,Functional Store North,ALTAMONTE SPRINGS,Altamonte Springs,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Front Runner Bikes    ,Front Runner Bikes,BRADENTON,Bradenton,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Widget Bicycle Specialists    ,Widget Bicycle Specialists,CLEARWATER,Clearwater,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Daring Rides    ,Daring Rides,CLEARWATER,Clearwater,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Simple Bike Parts    ,Simple Bike Parts,DESTIN,Destin,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,      General Associates    ,General Associates,HOLLYWOOD,Hollywood,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Recreation Supplies    ,Recreation Supplies,KENDALL,Kendall,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Tough and Reliable Parts    ,Tough and Reliable Parts,LAKELAND,Lakeland,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,  Juvenile Sports Equipment    ,Juvenile Sports Equipment,MERRITT ISLAND,Merritt Island,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Worthwhile Activity Store    ,Worthwhile Activity Store,MIAMI,Miami,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,          Spoke Manufacturers    ,Spoke Manufacturers,MIAMI,Miami,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,    Industrial Supplies    ,Industrial Supplies,MIAMI,Miami,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Variety Bike Outlet    ,Variety Bike Outlet,MIAMI,Miami,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,    Rally Day Mall    ,Rally Day Mall,MIAMI,Miami,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop, Superlative Bikes    ,Superlative Bikes,MIAMI,Miami,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,      Stylish Department Stores    ,Stylish Department Stores,MIAMI,Miami,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Exemplary Cycles    ,Exemplary Cycles,MIAMI,Miami,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,   Retail Toy Store    ,Retail Toy Store,MIAMI,Miami,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  Executive Discount Store    ,Executive Discount Store,MIAMI,Miami,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,   Bike Goods    ,Bike Goods,NORTH MIAMI BEACH,North Miami Beach,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,     Tread Industries    ,Tread Industries,ORLANDO,Orlando,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller, Hobby Store    ,Hobby Store,ORLANDO,Orlando,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Value Added Reseller,        Valuable Bike Parts Company    ,Valuable Bike Parts Company,ORLANDO,Orlando,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Warehouse,      Unified Sports Company    ,Unified Sports Company,SARASOTA,Sarasota,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,  Racks and Security Systems    ,Racks and Security Systems,SUNRISE,Sunrise,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
Specialty Bike Shop,     Quitting Business Distributors    ,Quitting Business Distributors,TAMPA,Tampa,Florida,United,"States,uSA,New York",States,New York,United States,uSA,USA
