,,,,,Product ID,Product Category,Product Subcategory,Product Name,Order Date,Month,Year,Wholesale Price,Retail Price,Order Quantity, Total (Before Tax),Tax Due,Order Total,Payment Method,Order Status,Order ID,Customer ID,Product Description,Product Size,Product Weight
,,,,,1049,Mountain Bikes,Cross Country,TrailBlazer 1000,01/01/22,1,2022, 840 ," 1,200 ",2," 2,400 ", 120 ," 2,520 ",Credit Card,Shipped,2001,3001,Lightweight and versatile,M,25
,,,,,1059,E-Bikes,City,UrbanEco 1000,01/01/22,1,2022," 1,460 "," 2,000 ",2," 4,000 ", 200 ," 4,200 ",Credit Card,Shipped,2061,3061,Eco-friendly electric city bike,M,35
TOTAL Q1 SALES,,,,,1065,Mountain Bikes,Cross Country,TrailBlazer 1000,01/01/22,1,2022, 840 ," 1,200 ",2," 2,400 ", 120 ," 2,520 ",Credit Card,Shipped,2001,3001,Lightweight and versatile,M,25
,2022,2023,% Increase,,1050,Mountain Bikes,Cross Country,TrailBlazer 2000,01/02/22,1,2022," 1,050 "," 1,500 ",1," 1,500 ", -   ," 1,500 ",PayPal,Processing,2002,3002,High-performance mountain bike,L,22
," $330,500 "," $453,830 ",37.32%,,1060,E-Bikes,City,UrbanEco 2000,01/02/22,1,2022," 1,825 "," 2,500 ",1," 2,500 ", 125 ," 2,625 ",PayPal,Processing,2062,3062,High-performance electric city bike,L,33
,,,,,1066,Mountain Bikes,Cross Country,TrailBlazer 2000,01/02/22,1,2022," 1,050 "," 1,500 ",1," 1,500 ", -   ," 1,500 ",PayPal,Processing,2002,3002,High-performance mountain bike,L,22
,,,,,1051,Road Bikes,Racing,SpeedMaster 1000,01/03/22,1,2022," 1,260 "," 1,800 ",3," 5,400 ", 270 ," 5,670 ",Credit Card,Cancelled,2003,3003,Agile and aerodynamic road bike,M,18
,,,,,1067,Road Bikes,Racing,SpeedMaster 1000,01/03/22,1,2022," 1,260 "," 1,800 ",3," 5,400 ", 270 ," 5,670 ",Credit Card,Cancelled,2003,3003,Agile and aerodynamic road bike,M,18
Q1 MONTHLY TOTALS,,,,,1052,Road Bikes,Racing,SpeedMaster 2000,01/04/22,1,2022," 1,470 "," 2,100 ",1," 2,100 ", 105 ," 2,205 ",Credit Card,Shipped,2004,3004,Premium racing road bike,L,16
,2022,2023,% Increase,,1068,Road Bikes,Racing,SpeedMaster 2000,01/04/22,1,2022," 1,470 "," 2,100 ",1," 2,100 ", 105 ," 2,205 ",Credit Card,Shipped,2004,3004,Premium racing road bike,L,16
January," $101,595 "," $143,555 ",41.30%,,1053,Touring Bikes,Long Distance,Explorer 1000,01/05/22,1,2022, 897 ," 1,300 ",2," 2,600 ", 130 ," 2,730 ",PayPal,Processing,2005,3005,Comfortable and durable touring bike,M,27
February," $113,445 "," $145,535 ",28.29%,,1069,Touring Bikes,Long Distance,Explorer 1000,01/05/22,1,2022, 897 ," 1,300 ",2," 2,600 ", 130 ," 2,730 ",PayPal,Processing,2005,3005,Comfortable and durable touring bike,M,27
March," $115,460 "," $164,740 ",42.68%,,1054,Touring Bikes,Long Distance,Explorer 2000,01/06/22,1,2022," 1,104 "," 1,600 ",1," 1,600 ", -   ," 1,600 ",Credit Card,Shipped,2006,3006,Advanced touring bike,L,24
,,,,,1070,Touring Bikes,Long Distance,Explorer 2000,01/06/22,1,2022," 1,104 "," 1,600 ",1," 1,600 ", -   ," 1,600 ",Credit Card,Shipped,2006,3006,Advanced touring bike,L,24
,,,,,1071,Mountain Bikes,Downhill,GravityMaster 1000,01/07/22,1,2022," 1,496 "," 2,200 ",2," 4,400 ", 220 ," 4,620 ",PayPal,Shipped,2007,3007,Rugged and durable downhill bike,M,29
,,,,,1072,Mountain Bikes,Downhill,GravityMaster 2000,01/08/22,1,2022," 1,700 "," 2,500 ",1," 2,500 ", 125 ," 2,625 ",Credit Card,Processing,2008,3008,Extreme downhill performance,L,27
,,,,,1061,Road Bikes,Cyclocross,CrossRider 1000,01/13/22,1,2022," 1,292 "," 1,900 ",3," 5,700 ", 285 ," 5,985 ",Credit Card,Cancelled,2043,3043,Versatile cyclocross bike,M,21
,,,,,1062,Road Bikes,Cyclocross,CrossRider 2000,01/14/22,1,2022," 1,496 "," 2,200 ",1," 2,200 ", 110 ," 2,310 ",Credit Card,Shipped,2044,3044,Advanced cyclocross bike,L,19
,,,,,1055,Touring Bikes,Tandem,DuoExplorer 1000,01/15/22,1,2022," 1,340 "," 2,000 ",2," 4,000 ", 200 ," 4,200 ",PayPal,Processing,2045,3045,Comfortable tandem touring bike,M,36
,,,,,1063,Touring Bikes,Tandem,DuoExplorer 1000,01/15/22,1,2022," 1,340 "," 2,000 ",2," 4,000 ", 200 ," 4,200 ",PayPal,Processing,2045,3045,Comfortable tandem touring bike,M,36
,,,,,1056,Touring Bikes,Tandem,DuoExplorer 2000,01/16/22,1,2022," 1,541 "," 2,300 ",1," 2,300 ", 115 ," 2,415 ",Credit Card,Shipped,2046,3046,High-performance tandem touring bike,L,34
,,,,,1064,Touring Bikes,Tandem,DuoExplorer 2000,01/16/22,1,2022," 1,541 "," 2,300 ",1," 2,300 ", 115 ," 2,415 ",Credit Card,Shipped,2046,3046,High-performance tandem touring bike,L,34
,,,,,1057,Mountain Bikes,Electric,E-Mountain 1000,01/17/22,1,2022," 2,250 "," 3,000 ",2," 6,000 ", 300 ," 6,300 ",PayPal,Shipped,2047,3047,Electric mountain bike,M,40
,,,,,1058,Mountain Bikes,Electric,E-Mountain 2000,01/18/22,1,2022," 2,625 "," 3,500 ",1," 3,500 ", 175 ," 3,675 ",Credit Card,Processing,2048,3048,High-performance electric mountain bike,L,38
,,,,,1073,Mountain Bikes,Trail,Pathfinder 1000,01/21/22,1,2022, 737 ," 1,100 ",2," 2,200 ", 110 ," 2,310 ",Credit Card,Shipped,2021,3021,Agile trail bike for all skill levels,M,24
,,,,,1074,Mountain Bikes,Trail,Pathfinder 2000,01/22/22,1,2022, 938 ," 1,400 ",1," 1,400 ", -   ," 1,400 ",PayPal,Processing,2022,3022,High-performance trail bike,L,21
,,,,,1075,Road Bikes,Touring,Voyager 1000,01/23/22,1,2022," 1,190 "," 1,700 ",3," 5,100 ", 255 ," 5,355 ",Credit Card,Cancelled,2023,3023,Comfortable touring road bike,M,20
,,,,,1076,Road Bikes,Touring,Voyager 2000,01/24/22,1,2022," 1,400 "," 2,000 ",1," 2,000 ", -   ," 2,000 ",Credit Card,Shipped,2024,3024,Advanced touring road bike,L,18
,,,,,1077,Touring Bikes,Adventure,Adventurer 1000,01/25/22,1,2022, 975 ," 1,500 ",2," 3,000 ", 150 ," 3,150 ",PayPal,Processing,2025,3025,Durable bike for long adventures,M,28
,,,,,1078,Touring Bikes,Adventure,Adventurer 2000,01/26/22,1,2022," 1,170 "," 1,800 ",1," 1,800 ", -   ," 1,800 ",Credit Card,Shipped,2026,3026,Premium adventure touring bike,L,26
,,,,,1079,Mountain Bikes,Enduro,EnduroMaster 1000,01/27/22,1,2022," 1,656 "," 2,300 ",2," 4,600 ", 230 ," 4,830 ",PayPal,Shipped,2027,3027,Endurance-focused mountain bike,M,30
,,,,,1080,Mountain Bikes,Enduro,EnduroMaster 2000,01/28/22,1,2022," 1,872 "," 2,600 ",1," 2,600 ", 130 ," 2,730 ",Credit Card,Processing,2028,3028,High-performance enduro mountain bike,L,28
,,,,,1182,E-Bikes,City,UrbanEco 1000,02/01/22,2,2022," 1,460 "," 2,000 ",2," 4,000 ", 200 ," 4,200 ",Credit Card,Shipped,2061,3061,Eco-friendly electric city bike,M,35
,,,,,1190,Mountain Bikes,Cross Country,TrailBlazer 1000,02/01/22,2,2022, 840 ," 1,200 ",2," 2,400 ", 120 ," 2,520 ",Credit Card,Shipped,2001,3001,Lightweight and versatile,M,25
,,,,,1183,E-Bikes,City,UrbanEco 2000,02/02/22,2,2022," 1,825 "," 2,500 ",1," 2,500 ", 125 ," 2,625 ",PayPal,Processing,2062,3062,High-performance electric city bike,L,33
,,,,,1191,Mountain Bikes,Cross Country,TrailBlazer 2000,02/02/22,2,2022," 1,050 "," 1,500 ",1," 1,500 ", -   ," 1,500 ",PayPal,Processing,2002,3002,High-performance mountain bike,L,22
,,,,,1184,Road Bikes,Gravel,GravelMaster 1000,02/03/22,2,2022," 1,105 "," 1,700 ",3," 5,100 ", 255 ," 5,355 ",Credit Card,Cancelled,2063,3063,All-terrain gravel bike,M,22
,,,,,1192,Road Bikes,Racing,SpeedMaster 1000,02/03/22,2,2022," 1,260 "," 1,800 ",3," 5,400 ", 270 ," 5,670 ",Credit Card,Cancelled,2003,3003,Agile and aerodynamic road bike,M,18
,,,,,1185,Road Bikes,Gravel,GravelMaster 2000,02/04/22,2,2022," 1,365 "," 2,100 ",1," 2,100 ", 105 ," 2,205 ",Credit Card,Shipped,2064,3064,High-performance gravel bike,L,20
,,,,,1193,Road Bikes,Racing,SpeedMaster 2000,02/04/22,2,2022," 1,470 "," 2,100 ",1," 2,100 ", 105 ," 2,205 ",Credit Card,Shipped,2004,3004,Premium racing road bike,L,16
,,,,,1186,Touring Bikes,Folding,FoldAway 1000,02/05/22,2,2022," 1,035 "," 1,500 ",2," 3,000 ", 150 ," 3,150 ",PayPal,Processing,2065,3065,Compact folding touring bike,M,30
,,,,,1194,Touring Bikes,Long Distance,Explorer 1000,02/05/22,2,2022, 897 ," 1,300 ",2," 2,600 ", 130 ," 2,730 ",PayPal,Processing,2005,3005,Comfortable and durable touring bike,M,27
,,,,,1187,Touring Bikes,Folding,FoldAway 2000,02/06/22,2,2022," 1,242 "," 1,800 ",1," 1,800 ", -   ," 1,800 ",Credit Card,Shipped,2066,3066,Advanced folding touring bike,L,28
,,,,,1195,Touring Bikes,Long Distance,Explorer 2000,02/06/22,2,2022," 1,104 "," 1,600 ",1," 1,600 ", -   ," 1,600 ",Credit Card,Shipped,2006,3006,Advanced touring bike,L,24
,,,,,1188,E-Bikes,Mountain,E-TrailBlazer 1000,02/07/22,2,2022," 2,080 "," 3,200 ",2," 6,400 ", 320 ," 6,720 ",PayPal,Shipped,2067,3067,Electric mountain bike,M,42
,,,,,1196,Mountain Bikes,Downhill,GravityMaster 1000,02/07/22,2,2022," 1,496 "," 2,200 ",2," 4,400 ", 220 ," 4,620 ",PayPal,Shipped,2007,3007,Rugged and durable downhill bike,M,29
,,,,,1198,Mountain Bikes,Downhill,GravityMaster 1000,02/07/22,2,2022," 1,496 "," 2,200 ",2," 4,400 ", 220 ," 4,620 ",PayPal,Shipped,2007,3007,Rugged and durable downhill bike,M,29
,,,,,1189,E-Bikes,Mountain,E-TrailBlazer 2000,02/08/22,2,2022," 2,405 "," 3,700 ",1," 3,700 ", 185 ," 3,885 ",Credit Card,Processing,2068,3068,High-performance electric mountain bike,L,40
,,,,,1197,Mountain Bikes,Downhill,GravityMaster 2000,02/08/22,2,2022," 1,700 "," 2,500 ",1," 2,500 ", 125 ," 2,625 ",Credit Card,Processing,2008,3008,Extreme downhill performance,L,27
,,,,,1199,Mountain Bikes,Downhill,GravityMaster 2000,02/08/22,2,2022," 1,700 "," 2,500 ",1," 2,500 ", 125 ," 2,625 ",Credit Card,Processing,2008,3008,Extreme downhill performance,L,27
,,,,,1208,Mountain Bikes,Fat Bikes,FatTrail 1000,02/11/22,2,2022, 780 ," 1,300 ",2," 2,600 ", 130 ," 2,730 ",Credit Card,Shipped,2041,3041,All-terrain fat bike,M,32
,,,,,1209,Mountain Bikes,Fat Bikes,FatTrail 2000,02/12/22,2,2022, 960 ," 1,600 ",1," 1,600 ", -   ," 1,600 ",PayPal,Processing,2042,3042,High-performance fat bike,L,29
,,,,,1176,Road Bikes,Cyclocross,CrossRider 1000,02/13/22,2,2022," 1,292 "," 1,900 ",3," 5,700 ", 285 ," 5,985 ",Credit Card,Cancelled,2043,3043,Versatile cyclocross bike,M,21
,,,,,1177,Road Bikes,Cyclocross,CrossRider 2000,02/14/22,2,2022," 1,496 "," 2,200 ",1," 2,200 ", 110 ," 2,310 ",Credit Card,Shipped,2044,3044,Advanced cyclocross bike,L,19
,,,,,1178,Touring Bikes,Tandem,DuoExplorer 1000,02/15/22,2,2022," 1,340 "," 2,000 ",2," 4,000 ", 200 ," 4,200 ",PayPal,Processing,2045,3045,Comfortable tandem touring bike,M,36
,,,,,1179,Touring Bikes,Tandem,DuoExplorer 2000,02/16/22,2,2022," 1,541 "," 2,300 ",1," 2,300 ", 115 ," 2,415 ",Credit Card,Shipped,2046,3046,High-performance tandem touring bike,L,34
,,,,,1180,Mountain Bikes,Electric,E-Mountain 1000,02/17/22,2,2022," 2,250 "," 3,000 ",2," 6,000 ", 300 ," 6,300 ",PayPal,Shipped,2047,3047,Electric mountain bike,M,40
,,,,,1181,Mountain Bikes,Electric,E-Mountain 2000,02/18/22,2,2022," 2,625 "," 3,500 ",1," 3,500 ", 175 ," 3,675 ",Credit Card,Processing,2048,3048,High-performance electric mountain bike,L,38
,,,,,1200,Mountain Bikes,Trail,Pathfinder 1000,02/21/22,2,2022, 737 ," 1,100 ",2," 2,200 ", 110 ," 2,310 ",Credit Card,Shipped,2021,3021,Agile trail bike for all skill levels,M,24
,,,,,1201,Mountain Bikes,Trail,Pathfinder 2000,02/22/22,2,2022, 938 ," 1,400 ",1," 1,400 ", -   ," 1,400 ",PayPal,Processing,2022,3022,High-performance trail bike,L,21
,,,,,1202,Road Bikes,Touring,Voyager 1000,02/23/22,2,2022," 1,190 "," 1,700 ",3," 5,100 ", 255 ," 5,355 ",Credit Card,Cancelled,2023,3023,Comfortable touring road bike,M,20
,,,,,1203,Road Bikes,Touring,Voyager 2000,02/24/22,2,2022," 1,400 "," 2,000 ",1," 2,000 ", -   ," 2,000 ",Credit Card,Shipped,2024,3024,Advanced touring road bike,L,18
,,,,,1204,Touring Bikes,Adventure,Adventurer 1000,02/25/22,2,2022, 975 ," 1,500 ",2," 3,000 ", 150 ," 3,150 ",PayPal,Processing,2025,3025,Durable bike for long adventures,M,28
,,,,,1205,Touring Bikes,Adventure,Adventurer 2000,02/26/22,2,2022," 1,170 "," 1,800 ",1," 1,800 ", -   ," 1,800 ",Credit Card,Shipped,2026,3026,Premium adventure touring bike,L,26
,,,,,1206,Mountain Bikes,Enduro,EnduroMaster 1000,02/27/22,2,2022," 1,656 "," 2,300 ",2," 4,600 ", 230 ," 4,830 ",PayPal,Shipped,2027,3027,Endurance-focused mountain bike,M,30
,,,,,1207,Mountain Bikes,Enduro,EnduroMaster 2000,02/28/22,2,2022," 1,872 "," 2,600 ",1," 2,600 ", 130 ," 2,730 ",Credit Card,Processing,2028,3028,High-performance enduro mountain bike,L,28
,,,,,1216,Mountain Bikes,Cross Country,TrailBlazer 1000,03/01/22,3,2022, 840 ," 1,200 ",2," 2,400 ", 120 ," 2,520 ",Credit Card,Shipped,2001,3001,Lightweight and versatile,M,25
,,,,,1240,E-Bikes,City,UrbanEco 1000,03/01/22,3,2022," 1,460 "," 2,000 ",2," 4,000 ", 200 ," 4,200 ",Credit Card,Shipped,2061,3061,Eco-friendly electric city bike,M,35
,,,,,1217,Mountain Bikes,Cross Country,TrailBlazer 2000,03/02/22,3,2022," 1,050 "," 1,500 ",1," 1,500 ", -   ," 1,500 ",PayPal,Processing,2002,3002,High-performance mountain bike,L,22
,,,,,1241,E-Bikes,City,UrbanEco 2000,03/02/22,3,2022," 1,825 "," 2,500 ",1," 2,500 ", 125 ," 2,625 ",PayPal,Processing,2062,3062,High-performance electric city bike,L,33
,,,,,1218,Road Bikes,Racing,SpeedMaster 1000,03/03/22,3,2022," 1,260 "," 1,800 ",3," 5,400 ", 270 ," 5,670 ",Credit Card,Cancelled,2003,3003,Agile and aerodynamic road bike,M,18
,,,,,1242,Road Bikes,Gravel,GravelMaster 1000,03/03/22,3,2022," 1,105 "," 1,700 ",3," 5,100 ", 255 ," 5,355 ",Credit Card,Cancelled,2063,3063,All-terrain gravel bike,M,22
,,,,,1219,Road Bikes,Racing,SpeedMaster 2000,03/04/22,3,2022," 1,470 "," 2,100 ",1," 2,100 ", 105 ," 2,205 ",Credit Card,Shipped,2004,3004,Premium racing road bike,L,16
,,,,,1243,Road Bikes,Gravel,GravelMaster 2000,03/04/22,3,2022," 1,365 "," 2,100 ",1," 2,100 ", 105 ," 2,205 ",Credit Card,Shipped,2064,3064,High-performance gravel bike,L,20
,,,,,1220,Touring Bikes,Long Distance,Explorer 1000,03/05/22,3,2022, 897 ," 1,300 ",2," 2,600 ", 130 ," 2,730 ",PayPal,Processing,2005,3005,Comfortable and durable touring bike,M,27
,,,,,1244,Touring Bikes,Folding,FoldAway 1000,03/05/22,3,2022," 1,035 "," 1,500 ",2," 3,000 ", 150 ," 3,150 ",PayPal,Processing,2065,3065,Compact folding touring bike,M,30
,,,,,1221,Touring Bikes,Long Distance,Explorer 2000,03/06/22,3,2022," 1,104 "," 1,600 ",1," 1,600 ", -   ," 1,600 ",Credit Card,Shipped,2006,3006,Advanced touring bike,L,24
,,,,,1245,Touring Bikes,Folding,FoldAway 2000,03/06/22,3,2022," 1,242 "," 1,800 ",1," 1,800 ", -   ," 1,800 ",Credit Card,Shipped,2066,3066,Advanced folding touring bike,L,28
,,,,,1222,Mountain Bikes,Downhill,GravityMaster 1000,03/07/22,3,2022," 1,496 "," 2,200 ",2," 4,400 ", 220 ," 4,620 ",PayPal,Shipped,2007,3007,Rugged and durable downhill bike,M,29
