,,,,,Product ID,Product Category,Product Subcategory,Product Name,Order Date,Month,Year,Wholesale Price,Retail Price,Order Quantity, Total (Before Tax),Tax Due,Order Total,Payment Method,Order Status,Order ID,Customer ID,Product Description,Product Size,Product Weight
,,,,,1085,Mountain Bikes,Downhill,GravityMaster 2000,02/08/23,2,2023," 1,700 "," 2,500 ",1," 2,500 ", 125 ," 2,625 ",Credit Card,Processing,2008,3008,Extreme downhill performance,L,27
,,,,,1033,Hybrid Bikes,Commuter,CommutePro 1000,02/19/23,2,2023, 720 ," 1,200 ",2," 2,400 ", 120 ," 2,520 ",Credit Card,Shipped,2081,3081,Efficient commuter hybrid bike,M,27
,,,,,1139,Hybrid Bikes,Commuter,CommutePro 1000,02/19/23,2,2023, 720 ," 1,200 ",2," 2,400 ", 120 ," 2,520 ",Credit Card,Shipped,2081,3081,Efficient commuter hybrid bike,M,27
,,,,,1034,Hybrid Bikes,Commuter,CommutePro 2000,02/20/23,2,2023, 900 ," 1,500 ",1," 1,500 ", -   ," 1,500 ",PayPal,Processing,2082,3082,High-performance commuter hybrid bike,L,25
,,,,,1140,Hybrid Bikes,Commuter,CommutePro 2000,02/20/23,2,2023, 900 ," 1,500 ",1," 1,500 ", -   ," 1,500 ",PayPal,Processing,2082,3082,High-performance commuter hybrid bike,L,25
,,,,,1035,Road Bikes,Aero,AeroSpeed 1000,02/21/23,2,2023," 1,932 "," 2,800 ",3," 8,400 ", 420 ," 8,820 ",Credit Card,Cancelled,2083,3083,Aerodynamic road bike,M,18
,,,,,1086,Mountain Bikes,Trail,Pathfinder 1000,02/21/23,2,2023, 737 ," 1,100 ",2," 2,200 ", 110 ," 2,310 ",Credit Card,Shipped,2021,3021,Agile trail bike for all skill levels,M,24
,,,,,1141,Road Bikes,Aero,AeroSpeed 1000,02/21/23,2,2023," 1,932 "," 2,800 ",3," 8,400 ", 420 ," 8,820 ",Credit Card,Cancelled,2083,3083,Aerodynamic road bike,M,18
,,,,,1036,Road Bikes,Aero,AeroSpeed 2000,02/22/23,2,2023," 2,208 "," 3,200 ",1," 3,200 ", 160 ," 3,360 ",Credit Card,Shipped,2084,3084,Advanced aerodynamic road bike,L,16
,,,,,1087,Mountain Bikes,Trail,Pathfinder 2000,02/22/23,2,2023, 938 ," 1,400 ",1," 1,400 ", -   ," 1,400 ",PayPal,Processing,2022,3022,High-performance trail bike,L,21
,,,,,1142,Road Bikes,Aero,AeroSpeed 2000,02/22/23,2,2023," 2,208 "," 3,200 ",1," 3,200 ", 160 ," 3,360 ",Credit Card,Shipped,2084,3084,Advanced aerodynamic road bike,L,16
,,,,,1146,Mountain Bikes,Trail,Pathfinder 2000,02/22/23,2,2023, 938 ," 1,400 ",1," 1,400 ", -   ," 1,400 ",PayPal,Processing,2022,3022,High-performance trail bike,L,21
,,,,,1037,Touring Bikes,Recumbent,ReclineRider 1000,02/23/23,2,2023," 1,500 "," 2,000 ",2," 4,000 ", 200 ," 4,200 ",PayPal,Processing,2085,3085,Comfortable recumbent touring bike,M,33
,,,,,1088,Road Bikes,Touring,Voyager 1000,02/23/23,2,2023," 1,190 "," 1,700 ",3," 5,100 ", 255 ," 5,355 ",Credit Card,Cancelled,2023,3023,Comfortable touring road bike,M,20
,,,,,1143,Touring Bikes,Recumbent,ReclineRider 1000,02/23/23,2,2023," 1,500 "," 2,000 ",2," 4,000 ", 200 ," 4,200 ",PayPal,Processing,2085,3085,Comfortable recumbent touring bike,M,33
,,,,,1147,Road Bikes,Touring,Voyager 1000,02/23/23,2,2023," 1,190 "," 1,700 ",3," 5,100 ", 255 ," 5,355 ",Credit Card,Cancelled,2023,3023,Comfortable touring road bike,M,20
,,,,,1038,Touring Bikes,Recumbent,ReclineRider 2000,02/24/23,2,2023," 1,800 "," 2,400 ",1," 2,400 ", 120 ," 2,520 ",Credit Card,Shipped,2086,3086,High-performance recumbent touring bike,L,30
,,,,,1089,Road Bikes,Touring,Voyager 2000,02/24/23,2,2023," 1,400 "," 2,000 ",1," 2,000 ", -   ," 2,000 ",Credit Card,Shipped,2024,3024,Advanced touring road bike,L,18
,,,,,1144,Touring Bikes,Recumbent,ReclineRider 2000,02/24/23,2,2023," 1,800 "," 2,400 ",1," 2,400 ", 120 ," 2,520 ",Credit Card,Shipped,2086,3086,High-performance recumbent touring bike,L,30
,,,,,1148,Road Bikes,Touring,Voyager 2000,02/24/23,2,2023," 1,400 "," 2,000 ",1," 2,000 ", -   ," 2,000 ",Credit Card,Shipped,2024,3024,Advanced touring road bike,L,18
,,,,,1039,Mountain Bikes,Downhill,DownhillDominator 1000,02/25/23,2,2023," 2,291 "," 2,900 ",2," 5,800 ", 290 ," 6,090 ",PayPal,Shipped,2087,3087,Downhill mountain bike,M,34
,,,,,1090,Touring Bikes,Adventure,Adventurer 1000,02/25/23,2,2023, 975 ," 1,500 ",2," 3,000 ", 150 ," 3,150 ",PayPal,Processing,2025,3025,Durable bike for long adventures,M,28
,,,,,1145,Mountain Bikes,Downhill,DownhillDominator 1000,02/25/23,2,2023," 2,291 "," 2,900 ",2," 5,800 ", 290 ," 6,090 ",PayPal,Shipped,2087,3087,Downhill mountain bike,M,34
,,,,,1149,Touring Bikes,Adventure,Adventurer 1000,02/25/23,2,2023, 975 ," 1,500 ",2," 3,000 ", 150 ," 3,150 ",PayPal,Processing,2025,3025,Durable bike for long adventures,M,28
,,,,,1040,Mountain Bikes,Downhill,DownhillDominator 2000,02/26/23,2,2023," 2,607 "," 3,300 ",1," 3,300 ", 165 ," 3,465 ",PayPal,Processing,2088,3088,High-performance downhill mountain bike,L,32
,,,,,1091,Touring Bikes,Adventure,Adventurer 2000,02/26/23,2,2023," 1,170 "," 1,800 ",1," 1,800 ", -   ," 1,800 ",Credit Card,Shipped,2026,3026,Premium adventure touring bike,L,26
,,,,,1150,Touring Bikes,Adventure,Adventurer 2000,02/26/23,2,2023," 1,170 "," 1,800 ",1," 1,800 ", -   ," 1,800 ",Credit Card,Shipped,2026,3026,Premium adventure touring bike,L,26
,,,,,1092,Mountain Bikes,Enduro,EnduroMaster 1000,02/27/23,2,2023," 1,656 "," 2,300 ",2," 4,600 ", 230 ," 4,830 ",PayPal,Shipped,2027,3027,Endurance-focused mountain bike,M,30
,,,,,1151,Mountain Bikes,Enduro,EnduroMaster 1000,02/27/23,2,2023," 1,656 "," 2,300 ",2," 4,600 ", 230 ," 4,830 ",PayPal,Shipped,2027,3027,Endurance-focused mountain bike,M,30
,,,,,1093,Mountain Bikes,Enduro,EnduroMaster 2000,02/28/23,2,2023," 1,872 "," 2,600 ",1," 2,600 ", 130 ," 2,730 ",Credit Card,Processing,2028,3028,High-performance enduro mountain bike,L,28
,,,,,1152,Mountain Bikes,Enduro,EnduroMaster 2000,02/28/23,2,2023," 1,872 "," 2,600 ",1," 2,600 ", 130 ," 2,730 ",Credit Card,Processing,2028,3028,High-performance enduro mountain bike,L,28
,,,,,1001,Mountain Bikes,Cross Country,TrailBlazer 1000,03/01/23,3,2023, 840 ," 1,200 ",2," 2,400 ", 120 ," 2,520 ",Credit Card,Shipped,2001,3001,Lightweight and versatile,M,25
,,,,,1025,E-Bikes,City,UrbanEco 1000,03/01/23,3,2023," 1,460 "," 2,000 ",2," 4,000 ", 200 ," 4,200 ",Credit Card,Shipped,2061,3061,Eco-friendly electric city bike,M,35
,,,,,1156,Mountain Bikes,Cross Country,TrailBlazer 1000,03/01/23,3,2023, 840 ," 1,200 ",2," 2,400 ", 120 ," 2,520 ",Credit Card,Shipped,2001,3001,Lightweight and versatile,M,25
,,,,,1002,Mountain Bikes,Cross Country,TrailBlazer 2000,03/02/23,3,2023," 1,050 "," 1,500 ",1," 1,500 ", -   ," 1,500 ",PayPal,Processing,2002,3002,High-performance mountain bike,L,22
,,,,,1026,E-Bikes,City,UrbanEco 2000,03/02/23,3,2023," 1,825 "," 2,500 ",1," 2,500 ", 125 ," 2,625 ",PayPal,Processing,2062,3062,High-performance electric city bike,L,33
,,,,,1157,Mountain Bikes,Cross Country,TrailBlazer 2000,03/02/23,3,2023," 1,050 "," 1,500 ",1," 1,500 ", -   ," 1,500 ",PayPal,Processing,2002,3002,High-performance mountain bike,L,22
,,,,,1003,Road Bikes,Racing,SpeedMaster 1000,03/03/23,3,2023," 1,260 "," 1,800 ",3," 5,400 ", 270 ," 5,670 ",Credit Card,Cancelled,2003,3003,Agile and aerodynamic road bike,M,18
,,,,,1027,Road Bikes,Gravel,GravelMaster 1000,03/03/23,3,2023," 1,105 "," 1,700 ",3," 5,100 ", 255 ," 5,355 ",Credit Card,Cancelled,2063,3063,All-terrain gravel bike,M,22
,,,,,1158,Road Bikes,Racing,SpeedMaster 1000,03/03/23,3,2023," 1,260 "," 1,800 ",3," 5,400 ", 270 ," 5,670 ",Credit Card,Cancelled,2003,3003,Agile and aerodynamic road bike,M,18
,,,,,1004,Road Bikes,Racing,SpeedMaster 2000,03/04/23,3,2023," 1,470 "," 2,100 ",1," 2,100 ", 105 ," 2,205 ",Credit Card,Shipped,2004,3004,Premium racing road bike,L,16
,,,,,1028,Road Bikes,Gravel,GravelMaster 2000,03/04/23,3,2023," 1,365 "," 2,100 ",1," 2,100 ", 105 ," 2,205 ",Credit Card,Shipped,2064,3064,High-performance gravel bike,L,20
,,,,,1159,Road Bikes,Racing,SpeedMaster 2000,03/04/23,3,2023," 1,470 "," 2,100 ",1," 2,100 ", 105 ," 2,205 ",Credit Card,Shipped,2004,3004,Premium racing road bike,L,16
,,,,,1005,Touring Bikes,Long Distance,Explorer 1000,03/05/23,3,2023, 897 ," 1,300 ",2," 2,600 ", 130 ," 2,730 ",PayPal,Processing,2005,3005,Comfortable and durable touring bike,M,27
,,,,,1029,Touring Bikes,Folding,FoldAway 1000,03/05/23,3,2023," 1,035 "," 1,500 ",2," 3,000 ", 150 ," 3,150 ",PayPal,Processing,2065,3065,Compact folding touring bike,M,30
,,,,,1160,Touring Bikes,Long Distance,Explorer 1000,03/05/23,3,2023, 897 ," 1,300 ",2," 2,600 ", 130 ," 2,730 ",PayPal,Processing,2005,3005,Comfortable and durable touring bike,M,27
,,,,,1006,Touring Bikes,Long Distance,Explorer 2000,03/06/23,3,2023," 1,104 "," 1,600 ",1," 1,600 ", -   ," 1,600 ",Credit Card,Shipped,2006,3006,Advanced touring bike,L,24
,,,,,1030,Touring Bikes,Folding,FoldAway 2000,03/06/23,3,2023," 1,242 "," 1,800 ",1," 1,800 ", -   ," 1,800 ",Credit Card,Shipped,2066,3066,Advanced folding touring bike,L,28
,,,,,1161,Touring Bikes,Long Distance,Explorer 2000,03/06/23,3,2023," 1,104 "," 1,600 ",1," 1,600 ", -   ," 1,600 ",Credit Card,Shipped,2006,3006,Advanced touring bike,L,24
,,,,,1007,Mountain Bikes,Downhill,GravityMaster 1000,03/07/23,3,2023," 1,496 "," 2,200 ",2," 4,400 ", 220 ," 4,620 ",PayPal,Shipped,2007,3007,Rugged and durable downhill bike,M,29
,,,,,1031,E-Bikes,Mountain,E-TrailBlazer 1000,03/07/23,3,2023," 2,080 "," 3,200 ",2," 6,400 ", 320 ," 6,720 ",PayPal,Shipped,2067,3067,Electric mountain bike,M,42
,,,,,1162,Mountain Bikes,Downhill,GravityMaster 1000,03/07/23,3,2023," 1,496 "," 2,200 ",2," 4,400 ", 220 ," 4,620 ",PayPal,Shipped,2007,3007,Rugged and durable downhill bike,M,29
,,,,,1008,Mountain Bikes,Downhill,GravityMaster 2000,03/08/23,3,2023," 1,700 "," 2,500 ",1," 2,500 ", 125 ," 2,625 ",Credit Card,Processing,2008,3008,Extreme downhill performance,L,27
,,,,,1032,E-Bikes,Mountain,E-TrailBlazer 2000,03/08/23,3,2023," 2,405 "," 3,700 ",1," 3,700 ", 185 ," 3,885 ",Credit Card,Processing,2068,3068,High-performance electric mountain bike,L,40
,,,,,1163,Mountain Bikes,Downhill,GravityMaster 2000,03/08/23,3,2023," 1,700 "," 2,500 ",1," 2,500 ", 125 ," 2,625 ",Credit Card,Processing,2008,3008,Extreme downhill performance,L,27
,,,,,1017,Mountain Bikes,Fat Bikes,FatTrail 1000,03/11/23,3,2023, 780 ," 1,300 ",2," 2,600 ", 130 ," 2,730 ",Credit Card,Shipped,2041,3041,All-terrain fat bike,M,32
,,,,,1172,Mountain Bikes,Fat Bikes,FatTrail 1000,03/11/23,3,2023, 780 ," 1,300 ",2," 2,600 ", 130 ," 2,730 ",Credit Card,Shipped,2041,3041,All-terrain fat bike,M,32
,,,,,1018,Mountain Bikes,Fat Bikes,FatTrail 2000,03/12/23,3,2023, 960 ," 1,600 ",1," 1,600 ", -   ," 1,600 ",PayPal,Processing,2042,3042,High-performance fat bike,L,29
,,,,,1173,Mountain Bikes,Fat Bikes,FatTrail 2000,03/12/23,3,2023, 960 ," 1,600 ",1," 1,600 ", -   ," 1,600 ",PayPal,Processing,2042,3042,High-performance fat bike,L,29
,,,,,1019,Road Bikes,Cyclocross,CrossRider 1000,03/13/23,3,2023," 1,292 "," 1,900 ",3," 5,700 ", 285 ," 5,985 ",Credit Card,Cancelled,2043,3043,Versatile cyclocross bike,M,21
,,,,,1174,Road Bikes,Cyclocross,CrossRider 1000,03/13/23,3,2023," 1,292 "," 1,900 ",3," 5,700 ", 285 ," 5,985 ",Credit Card,Cancelled,2043,3043,Versatile cyclocross bike,M,21
,,,,,1020,Road Bikes,Cyclocross,CrossRider 2000,03/14/23,3,2023," 1,496 "," 2,200 ",1," 2,200 ", 110 ," 2,310 ",Credit Card,Shipped,2044,3044,Advanced cyclocross bike,L,19
,,,,,1175,Road Bikes,Cyclocross,CrossRider 2000,03/14/23,3,2023," 1,496 "," 2,200 ",1," 2,200 ", 110 ," 2,310 ",Credit Card,Shipped,2044,3044,Advanced cyclocross bike,L,19
,,,,,1021,Touring Bikes,Tandem,DuoExplorer 1000,03/15/23,3,2023," 1,340 "," 2,000 ",2," 4,000 ", 200 ," 4,200 ",PayPal,Processing,2045,3045,Comfortable tandem touring bike,M,36
,,,,,1022,Touring Bikes,Tandem,DuoExplorer 2000,03/16/23,3,2023," 1,541 "," 2,300 ",1," 2,300 ", 115 ," 2,415 ",Credit Card,Shipped,2046,3046,High-performance tandem touring bike,L,34
,,,,,1023,Mountain Bikes,Electric,E-Mountain 1000,03/17/23,3,2023," 2,250 "," 3,000 ",2," 6,000 ", 300 ," 6,300 ",PayPal,Shipped,2047,3047,Electric mountain bike,M,40
,,,,,1024,Mountain Bikes,Electric,E-Mountain 2000,03/18/23,3,2023," 2,625 "," 3,500 ",1," 3,500 ", 175 ," 3,675 ",Credit Card,Processing,2048,3048,High-performance electric mountain bike,L,38
,,,,,1009,Mountain Bikes,Trail,Pathfinder 1000,03/21/23,3,2023, 737 ," 1,100 ",2," 2,200 ", 110 ," 2,310 ",Credit Card,Shipped,2021,3021,Agile trail bike for all skill levels,M,24
,,,,,1164,Mountain Bikes,Trail,Pathfinder 1000,03/21/23,3,2023, 737 ," 1,100 ",2," 2,200 ", 110 ," 2,310 ",Credit Card,Shipped,2021,3021,Agile trail bike for all skill levels,M,24
,,,,,1010,Mountain Bikes,Trail,Pathfinder 2000,03/22/23,3,2023, 938 ," 1,400 ",1," 1,400 ", -   ," 1,400 ",PayPal,Processing,2022,3022,High-performance trail bike,L,21
,,,,,1165,Mountain Bikes,Trail,Pathfinder 2000,03/22/23,3,2023, 938 ," 1,400 ",1," 1,400 ", -   ," 1,400 ",PayPal,Processing,2022,3022,High-performance trail bike,L,21
,,,,,1011,Road Bikes,Touring,Voyager 1000,03/23/23,3,2023," 1,190 "," 1,700 ",3," 5,100 ", 255 ," 5,355 ",Credit Card,Cancelled,2023,3023,Comfortable touring road bike,M,20
,,,,,1166,Road Bikes,Touring,Voyager 1000,03/23/23,3,2023," 1,190 "," 1,700 ",3," 5,100 ", 255 ," 5,355 ",Credit Card,Cancelled,2023,3023,Comfortable touring road bike,M,20
,,,,,1012,Road Bikes,Touring,Voyager 2000,03/24/23,3,2023," 1,400 "," 2,000 ",1," 2,000 ", -   ," 2,000 ",Credit Card,Shipped,2024,3024,Advanced touring road bike,L,18
,,,,,1167,Road Bikes,Touring,Voyager 2000,03/24/23,3,2023," 1,400 "," 2,000 ",1," 2,000 ", -   ," 2,000 ",Credit Card,Shipped,2024,3024,Advanced touring road bike,L,18
,,,,,1013,Touring Bikes,Adventure,Adventurer 1000,03/25/23,3,2023, 975 ," 1,500 ",2," 3,000 ", 150 ," 3,150 ",PayPal,Processing,2025,3025,Durable bike for long adventures,M,28
,,,,,1168,Touring Bikes,Adventure,Adventurer 1000,03/25/23,3,2023, 975 ," 1,500 ",2," 3,000 ", 150 ," 3,150 ",PayPal,Processing,2025,3025,Durable bike for long adventures,M,28
,,,,,1014,Touring Bikes,Adventure,Adventurer 2000,03/26/23,3,2023," 1,170 "," 1,800 ",1," 1,800 ", -   ," 1,800 ",Credit Card,Shipped,2026,3026,Premium adventure touring bike,L,26
,,,,,1169,Touring Bikes,Adventure,Adventurer 2000,03/26/23,3,2023," 1,170 "," 1,800 ",1," 1,800 ", -   ," 1,800 ",Credit Card,Shipped,2026,3026,Premium adventure touring bike,L,26
,,,,,1015,Mountain Bikes,Enduro,EnduroMaster 1000,03/27/23,3,2023," 1,656 "," 2,300 ",2," 4,600 ", 230 ," 4,830 ",PayPal,Shipped,2027,3027,Endurance-focused mountain bike,M,30
,,,,,1170,Mountain Bikes,Enduro,EnduroMaster 1000,03/27/23,3,2023," 1,656 "," 2,300 ",2," 4,600 ", 230 ," 4,830 ",PayPal,Shipped,2027,3027,Endurance-focused mountain bike,M,30
,,,,,1016,Mountain Bikes,Enduro,EnduroMaster 2000,03/28/23,3,2023," 1,872 "," 1,600 ",1," 1,600 ", -   ," 1,600 ",Credit Card,Processing,2028,3028,High-performance enduro mountain bike,L,28
,,,,,1171,Mountain Bikes,Enduro,EnduroMaster 2000,03/28/23,3,2023," 1,872 "," 2,600 ",1," 2,600 ", 130 ," 2,730 ",Credit Card,Processing,2028,3028,High-performance enduro mountain bike,L,28
